醫療院所,縣市,鄉鎮市區,地址,電話,TWD97X,TWD97Y
康乃心婦產科診所,臺南市,安平區,華平里華平路467號1、2、3、4樓及465號1、2樓,2936888,165433.62,2543687.96
康乃文診所,臺中市,南區,三民西路232號一樓,04 23756986,215555.1437,2669492.459
康乃馨中醫診所,新北市,中和區,中正路137號1樓,222421052,300414.742,2765144.35
康士美牙醫診所,高雄市,岡山區,岡山路35號1樓,07-6296078,177117.78,2522472.02
康心美婦診所,臺北市,中山區,農安街14號2樓、雙城街17之4號2樓,25971069,302906,2773063
康文銘診所,高雄市,湖內區,中華街148號,07 6997438,170518.9,2534248.467
康世維口腔美學牙醫診所,桃園市,桃園區,中正路1398之1號1樓、2樓,(03)3568555,279826.74,2768381.59
康仕美牙醫診所,臺中市,西區,忠明南路371號1樓,04-23770088,215199.4846,2670875.785
康仕美牙醫診所,桃園市,中壢區,民族路六段138號1樓及夾層,03-4201412,266513.68,2761400.18
康仕美診所,高雄市,楠梓區,德民路1017號1樓,07-3656338,176655.68,2513329.5
康平中醫診所,臺南市,安平區,國平里建平七街675號1樓,06-2996752,164881.76,2543407.86
康平牙醫診所,臺南市,佳里區,東寧里新生路58號1、2樓,67222019,166044.18,2562380.75
康平牙醫診所,臺北市,中正區,信義路二段67號,223914452,303115.1206,2769723.01
康平皮膚科診所,苗栗縣,苗栗市,信義街31號2樓,037-360222,231262.477,2716017.107
康平診所,桃園市,中壢區,中山東路3段286號1樓、288號1樓,03-4560770,275311.28,2759302.34
康民牙醫診所,臺北市,內湖區,成功路四段339號,26318855,310454.3345,2775274.858
康永牙醫診所,臺南市,永康區,復國里復國二路173-1號,06-2023329,172926.28,2545784.86
康田耳鼻喉科診所,高雄市,鼓山區,明誠三路656號1樓,5868488,177616.87,2506950.1
康田診所,臺南市,中西區,兌悅里成功路443號1樓,06-2273570,167665.89,2544608.1
康田診所,臺北市,北投區,自強街76號,28976778,301874.6379,2778117.053
康田親子診所,新竹市,東區,龍山里龍山東路208號1-2樓,03-6662203,251224.14,2742404.67
康禾中醫診所,臺北市,大安區,羅斯福路3段275號2樓、2樓之1,02-23630363,303587.2786,2767914.39
康禾牙醫診所,臺北市,大安區,敦化南路1段228號6樓,27500067,305334,2770429
康禾牙醫診所,桃園市,桃園區,莊敬路一段370號1樓,(03)3150852,279831.44,2768438.2
康禾堂中醫診所,臺北市,北投區,西安街二段335號,2823-4452,301000.5206,2779236.878
康禾診所,新北市,新店區,中正路140號1樓,02-29109696,297318.1207,2775301.577
康禾診所,臺北市,南港區,忠孝東路七段551號,02-27855629,311881.5858,2771792.795
康禾診所,桃園市,楊梅區,環東路488號1樓及2樓,03-4882431,265826.46,2755889.31
康全牙醫診所,宜蘭縣,宜蘭市,神農路一段125號1樓,03-9353623,325902.71,2738289.85
康全診所,新北市,三重區,三和路四段111之32號9樓,22878099,299075.419,2774451.912
康合骨外科診所,臺南市,永康區,六合里中山南路12之3號1樓,06-3023450 0918639033蘇文明,170771.29,2545796.11
康合復健科診所,彰化縣,鹿港鎮,復興路215號,04-7747198,192857.83,2661216.93
康合診所,基隆市,暖暖區,源遠路281之1號,(02)24592200,326276.75,2776978.529
康合診所,新北市,土城區,清水路233號1樓,22634168,296556.0482,2763958.965
康如診所,新北市,淡水區,中正東路53之8號(1樓)、53之9號(2樓),26263332,295047.3778,2784454.132
康舟診所,臺南市,南區,府南里金華路一段486號2樓,06-2655345,167041,2541523.56
康佑牙醫診所,臺南市,北區,大港里大興街348號1、2樓,06-3504998,166359.63,2545585.78
康廷耳鼻喉科診所,新北市,蘆洲區,中正路124號1樓,22825133,297348.1534,2775262.881
康貝兒小兒科診所,臺中市,西區,向上路一段553號1樓,04-24720515,214577.7965,2671299.433
康兒診所,高雄市,楠梓區,德民路1003-2號1樓、1003-3號1樓,07-3639263,176708.55,2513364.59
康卓牙醫診所,臺北市,中山區,朱崙街56號,27318331,304792.9535,2771406.351
康和中醫診所,臺北市,大安區,忠孝東路三段251巷5弄1號,27810990,304670.5086,2770617.651
康和中醫診所,高雄市,新興區,五福一路128號一樓,07-2221128,179339.707,2503162.716
康和牙醫診所,臺北市,松山區,八德路3段241號1、2樓,25783338,306243.8585,2771240.873
康和牙醫診所,新北市,新店區,安和路三段153號,229465819,302145.0538,2764279.216
康和診所,臺中市,和平區,東崎路一段桃山巷42號1樓,04-25911732,243391.037,2692462.84
康宗元中醫診所,高雄市,三民區,鼎強街236號1樓,07-3509861,180292.33,2507657.011
康承牙醫診所,新北市,永和區,永元路48號1樓,(02)29212522,302721.3098,2765987.888
康明哲小兒科內科診所,臺北市,松山區,三民路136巷15號,227675941,306910.8808,2772615.588
康明診所,臺中市,北區,五權路232號5樓,04-22022700,217181.4164,2671764.047
康明診所,嘉義縣,新港鄉,福德路18號,05-3747689,183205.26,2606066.72
康昕診所,新北市,三重區,正義北路185號1、2樓,2986-5982,300078.0471,2773381.93
康東原診所,高雄市,楠梓區,右昌街376號,07-3610115,176958.322,2512904.485
康欣中醫診所,新北市,三重區,中正北路79號1樓,(02)89857068,299429.2421,2772865.256
康河牙醫診所,臺北市,松山區,南京東路四段77號2樓,02-27189090,305885.2284,2771632.832
康育診所,臺北市,內湖區,成功路三段189號2樓,227909134,309595.5697,2774811.214
康迎健康診所,臺北市,大安區,忠孝東路4段76號2樓,27728881,305071.127,2770471.095
康青骨科診所,新竹縣,竹北市,中正東路218號1樓,03-5551156,251422.726,2747530.507
康城診所,新北市,土城區,中正路152號1樓,(02)8273-2660,295045.1122,2763148.726
康妍美學牙醫診所,彰化縣,彰化市,阿夷里建國東路295號12樓,04-7263880,204657.53,2665822.91
康恒牙醫診所,高雄市,左營區,自由三路306號1樓,07-3417337,179337.889,2508364.928
康泉中醫診所,新北市,中和區,新興街6巷7號1樓,229278333,301686.8401,2766140.98
康活診所,臺北市,松山區,復興北路333號5樓,27183159,304927.7486,2772512.192
康研診所,臺北市,內湖區,堤頂大道二段409號,26577257,306822.2298,2774836.947
康美牙醫診所,高雄市,鳳山區,八德路278號,07-7777180,183779.76,2504421.63
康美診所,基隆市,信義區,深溪路139號1樓.2樓後半段.3樓,(02)24666572,328902.41,2780914.93
康倍耳鼻喉科診所,新北市,三重區,正義北路117號1樓,02-29849506,300131.0299,2773175.41
康倍診所,桃園市,桃園區,力行路328巷29號1樓,(03)3320111,279905.88,2765835.15
康倪美學診所,臺中市,西區,美村路一段30號2樓,04-37005050,215597.1281,2672138.451
康宸中醫診所,新北市,板橋區,南門街43號1樓、2樓、3樓,02-8968-1969,296159.0765,2766807.045
康宸中醫診所,新竹市,北區,經國路二段三七八號,03─5251319,245686.63,2744460.04
康宸牙醫診所,臺中市,南屯區,河南路四段483號1樓及2樓,04-23829191,213255.9206,2671434.213
康宸美學牙醫診所,臺南市,新化區,協興里忠孝路162號1樓,06-5988333,178530.42,2548624.25
康庭小兒科診所,臺南市,新營區,民權里三民路106及106之12號,06-6331166,179868.29,2578463.77
康庭中醫診所,臺中市,清水區,北寧街78之1號1樓,04-26232988,207080.1847,2685229.317
康庭牙醫診所,高雄市,鳳山區,鳳南路301號,07 7166966,181588.29,2500406.17
康庭診所,桃園市,中壢區,莊敬路811巷6號1樓,03-4336633,275746.71,2761814.13
康恩診所,臺南市,新營區,大宏里民治路29巷26之13號1、2樓,06-6330173,180099.34,2578736.88
康悅復健科診所,臺中市,北屯區,松竹五路一段115號1樓及夾層,04-24351088,219969.927,2674411.235
康格診所,臺中市,西區,向上南路一段215、217號1樓,04-24720510,214535.5437,2671104.403
康泰牙醫診所,臺中市,大雅區,學府路二一三號,04 25663040,214433.4423,2679637.573
康泰牙醫診所,臺南市,北區,大豐里武聖路118號1~2樓,06-2806000,167040.31,2545213.51
康泰牙醫診所,臺北市,大安區,四維路170巷16號,227094077,305229.0711,2769002.873
康泰牙醫診所,新北市,新莊區,幸福路七二一號1樓及2樓,02 22777067,295352.8692,2771288.188
康泰診所,臺北市,信義區,永吉路54號,227661228,307470.9404,2770938.716
康泰診所,高雄市,小港區,大鵬路66號1-2樓,07-8060308,184042.689,2496495.669
康泰診所,新北市,泰山區,泰林路2段290號1．2樓,02 2297-5888,293502.6821,2772787.586
康祐牙醫診所,新北市,板橋區,光武街17號1樓,8253-3332,297225.5658,2768601.282
康祐診所,臺中市,太平區,中山路1段220號1樓,04-23931234,222812.81,2670691.96
康祐臻品牙醫診所,新北市,板橋區,民生路3段32之1號(1樓),02-82536036,297207.0106,2768612.925
康軒牙醫診所,臺北市,大安區,信義路4段189號,27099987,305611.6043,2769592.079
康軒牙醫診所,高雄市,小港區,漢民路807號1-2樓,8010856,184669.762,2496692.282
康軒牙醫診所,新北市,新莊區,昌平街332號1樓、2樓,77136300,295892.2587,2772503.452
康軒家庭牙醫診所,高雄市,鳳山區,南正二路190號,7218515,181153.16,2500153.75
康健中醫診所,臺中市,南區,忠明南路482號1樓,23786008,215144.185,2669803.708
康健內兒科診所,臺南市,中西區,法華里健康路1段176號1?6樓,(06)2146928,168677.11,2542451.66
康健牙醫診所,臺中市,南區,南和路213號1樓,04-22638803,216266.3357,2668088.708
康健牙醫診所,臺北市,松山區,延壽街143號,27565522,306880.1357,2772208.646
康健牙醫診所,高雄市,岡山區,壽華路32號,6250923,177435.62,2522060.02
康健牙醫診所,澎湖縣,馬公市,治平路15-2號,911749852,103803.0992,2608065.555
康健家庭醫學科診所,新北市,鶯歌區,建國路二三一號,26788558,285192.6079,2760662.655
康健骨科診所,高雄市,楠梓區,興楠路281號1樓,07-3522886,181508.993,2514504.193
康健堂中醫診所,新北市,新莊區,新泰路307號1樓,29984522,294924.4819,2770416.11
康健復健科診所,臺南市,永康區,永康里永大路2段919號,06-2326048,174239.05,2547089.36
康健診所,臺北市,松山區,延吉街9之4號(1樓)及11號2樓,25779682,305857.5948,2771073.457
康健診所,臺南市,東山區,東原里前大埔182號1樓,06-6864268,193141.49,2573760.26
康健診所,臺中市,西區,臺灣大道二段307號4樓,04-23105555,216036.6318,2672039.02
康健診所,新竹縣,竹東鎮,中豐路二段341號1至3樓,03-5102916,259020.617,2735356.022
康健診所,臺東縣,池上鄉,中西三路3號,089-865609,272255.21,2558022.02
康健診所,金門縣,金城鎮,民權路27號,082-324170,-22440.7126,2705482.61
康婕婦產科診所,臺北市,大安區,光復南路240巷23號2樓,27036718,306151.8722,2770396.308
康康診所,臺中市,北屯區,北屯路428之3號1樓,04-22461925,219605.2821,2674862.051
康強診所,臺中市,外埔區,水美路20-3號1樓,04-26878660,212978.3407,2691927.344
康得診所,高雄市,鹽埕區,五福四路106號108號1樓,07-5319191,176622.805,2502657.901
康捷牙醫診所,新北市,土城區,中央路四段76之5號2樓,(02)2267-8768,292297.649,2761370.666
康捷美學牙醫診所,彰化縣,北斗鎮,西安里斗苑路一段430號1、2樓,04-8782808,200906.408,2641062.493
康珵中醫診所,臺中市,沙鹿區,中正街42號1樓,04-26630195,205302.2047,2681267.701
康眼科診所,澎湖縣,馬公市,中華路82-1號,929677506,104294.7657,2608208.914
康勝牙醫診所,新北市,新莊區,昌隆街90號1樓、2樓,29919649,296015.0125,2771482.139
康博中醫診所,桃園市,中壢區,長春路108號,34555577,275042.19,2763399.85
康博中醫診所,新北市,中和區,新生街283號1樓,222225453,298839.1017,2765603.708
康博牙醫診所,臺中市,大雅區,民生路一段57號,04-25680582,214169.2691,2680138.231
康博牙醫診所,高雄市,三民區,澄清路700號1樓,07-7851688,182875.96,2505194.525
康博診所,新竹縣,竹北市,光明六路東一段276號1樓,03-6221331,252668.452,2745849.612
康博診所,臺中市,南屯區,惠文路709號1樓,04-22593999,213791.1695,2672024.199
康博診所,臺北市,大安區,復興南路1段227號1樓,02-27216878,304885.968,2770155.751
康喬口腔外科牙醫診所,桃園市,桃園區,中正路1121號5樓、1123號5樓,03-3550610,280038.94,2767736.68
康喬中醫診所,高雄市,楠梓區,德民路999-7號1樓,07-3657189,176754.5,2513394.78
康喬牙醫診所,新北市,板橋區,懷德街181巷1號1樓．3號1樓,02-2258-9946,298382.0842,2769204.324
康喬牙醫診所,臺南市,中西區,郡王里府前路一段179號1-2樓,06-2139268,168523.3,2543259.47
康富骨科診所,桃園市,中壢區,中北路二段468之1號1-2樓,03-4563165,273700.96,2760773.59
康復診所,新竹市,東區,綠水里東光路17號,03-5727656,248673.36,2743837.41
康普牙醫診所,桃園市,龜山區,中興路一段99號1、2樓,03 3500337,284291.44,2765240.14
康普生眼科診所,新北市,樹林區,中山路1段186號1樓、186-1號1樓,226879198,292568.9147,2764593.515
康普森牙醫診所,新北市,汐止區,中興路135號1樓、2樓,26932815,313720.6978,2773174.133
康普頓診所,臺中市,南屯區,向上路一段658號1樓、2樓,04-23226766,214265.088,2671342.515
康森牙醫診所,臺北市,信義區,忠孝東路5段388號2樓,27222751,307944.0846,2770413.114
康森美學牙醫診所,臺南市,安平區,華平里華平路603號1-2樓,06-2956805,165487.43,2544072.37
康植牙醫診所,臺中市,北區,北平路二段137之1號1樓,04-22993587,217242.4465,2674050.229
康然中醫診所,臺中市,北屯區,安順東十街56號1樓,04-2243-5766,218714.0428,2674472.064
康然中醫診所,苗栗縣,苗栗市,建功里9鄰中正路295號1樓,037-370892,232154.805,2717401.206
康甯牙醫診所,高雄市,左營區,政德路128號1.2樓,07-3470512,178016.472,2508608.056
康程中醫診所,臺中市,南區,復興路二段155之3號,04-22608300,215986.2208,2669109.161
康竤中醫診所,臺中市,北屯區,興安路一段19號1樓,22382285,218624.6334,2673404.896
康絜牙醫診所,臺北市,內湖區,文德路二十二巷二十七弄十號,26584771,308496.0219,2774406.458
康絜牙醫診所,桃園市,大溪區,介壽路906號1樓,03 3894912,278666.73,2754711.44
康翔牙醫診所,臺北市,文山區,興隆路二段124號,229306909,305557.7617,2766001.431
康翔牙醫診所,高雄市,左營區,富國路249號2樓,07-5561699/5568599,178756.774,2507384.953
康翔耳鼻喉科診所,臺中市,南區,復興路二段81號1樓,04-22652208,215682.4311,2668695.683
康舒美牙醫診所,臺中市,北區,漢口路四段375-7號1、2樓,04-22367565,217862.1597,2673568.097
康華中醫診所,臺北市,信義區,莊敬路391巷11弄9號,27295535,307056.1932,2769083.21
康華牙醫診所,新竹縣,竹北市,華興街172號,35528098,250201.738,2748009.276
康華牙醫診所,新北市,淡水區,民權路一二七號二樓,02 28091000,296407.9051,2780999.879
康華牙醫診所,高雄市,岡山區,大仁北路二三二號,07 6218199,178335.96,2522108.88
康華牙醫診所,苗栗縣,苑裡鎮,客庄里南興路165、167號1樓,860668,214698.906,2703947.908
康華牙醫診所,桃園市,蘆竹區,南上路19號1-2樓,03-3530789,279779.03,2771097.19
康華診所,臺中市,北屯區,崇德路二段309號1樓,04-22436698,218063.5979,2674744.758
康萊牙醫診所,臺北市,大安區,敦化南路一段三一九號三樓,227008017,305417.8991,2769727.106
康萊診所,新北市,中和區,連城路317之2號,223932665,299377.9508,2765431.739
康萊診所,高雄市,前金區,七賢二路389號1樓,07-2415083,176835.93,2503532.924
康陽診所,新北市,中和區,莒光路78號1樓,229637176,297664.6237,2766182.504
康雅牙醫診所,桃園市,中壢區,自強六路41號1-2樓,03-4610471,275040,2762949.83
康雅牙醫診所,南投縣,南投市,大同街3號,049-22293733,218261,2644660
康新診所,新北市,三重區,正義北路185號1樓、2樓,02-2986-6582,300078.0471,2773381.93
康暉耳鼻喉科診所,臺中市,北區,中清路1段798號1樓,04-22966161,216684.5944,2674040.059
康歆診所,新北市,三重區,正義北路185號1樓、2樓,02-29865982,300078.0471,2773381.93
康源中醫診所,臺南市,善化區,坐駕里民生路433號1樓,06-5856787,177806.06,2558851.26
康源中醫診所,新北市,永和區,得和路351號,02 9258628,302911.413,2765829.27
康瑞耳鼻喉科診所,臺北市,松山區,八德路三段154號1樓,225790045,305996.7057,2771206.788
康瑞診所,臺中市,北區,雙十路一段16號2樓,04-37070066,218239.2629,2671561.422
康瑞診所,桃園市,桃園區,大有路504號1樓,03 3462345,282127.91,2767300.13
康群牙醫診所,臺中市,西屯區,永福路173號1樓,04-24622589,211551.0142,2675682.178
康群牙醫診所,新北市,土城區,延吉街一二四號,282620688,297406.769,2764298.067
康群耳鼻喉科診所,高雄市,鼓山區,美術東二路110號1樓,07-5549191,176861.348,2506115.682
康群健康診所,高雄市,岡山區,中山南路268號1樓,07-6252576,178113.025,2520412.915
康群復健科診所,臺南市,永康區,復國里復國一路236號1、2樓,06-3138899,172748.7,2545267.72
康群診所,新北市,新莊區,民安西路74號,86919542,293110.4871,2768058.708
康聖耳鼻喉科診所,臺中市,大里區,東榮路404號1樓,04-2487-4239,217756.67,2667258.63
康裕牙醫診所,高雄市,左營區,孟子路101號1樓,3437656,179480.191,2508247.419
康詮耳鼻喉科診所,高雄市,仁武區,中華路363號1樓,07-7991988,183630.19,2511331.712
康誠內科診所,臺北市,信義區,松山路625號,27260018,308377.8616,2769935.147
康誠診所,臺中市,南屯區,大墩路705號2樓,04-23103968,214391.767,2671988.19
康誠診所,高雄市,岡山區,維仁路81號1樓,07-6217335,177328.8,2521597.65
康嘉診所,彰化縣,鹿港鎮,中山路277號,04-7755511,192388.93,2661386.77
康壽中醫診所,南投縣,名間鄉,彰南路373之4號,049-2220918,218755.58,2641265.14
康寧牙醫診所,臺北市,中山區,新生北路一段五十一號五樓,225641505,303489.4762,2771206.456
康寧牙醫診所,臺中市,西屯區,西屯路三段169-6號1樓,04-24635000,211024.4058,2675966.586
康寧耳鼻喉科診所,新北市,汐止區,康寧街386號1樓,02-26926905,313490.479,2773427.218
康寧眼科診所,基隆市,七堵區,明德一路一七九號二樓,(02)24568418,321844.082,2776700.091
康寧診所,臺北市,內湖區,康寧路一段144號1樓,87910214,309914.966,2774683.956
康寧診所,高雄市,仁武區,京吉六路5號1-2樓,07-3720307,182428.59,2509579.29
康寧診所,花蓮縣,吉安鄉,慶豐村中山路三段三八六號,03-8530910,307886.011,2652824.87
康寧醫療財團法人康寧醫院,臺北市,內湖區,成功路五段420巷26號,26345500,311413.0858,2774328.426
康慈牙醫診所,臺中市,西屯區,福安路76號1樓,,211601.5173,2675143.691
康熙診所,新北市,新莊區,富國路27號1樓,29031028,292264.8994,2768775.828
康爾牙醫診所,桃園市,八德區,義勇街100號1至3樓,,280617.42,2761784.71
康碩牙醫診所,桃園市,中壢區,中山東路一段76號1樓,03 4523474,273293.87,2760929.57
康福中醫診所,臺中市,新社區,中和街四段二八七號,04-25822960,230543.2285,2682302.181
康福中醫診所,新北市,永和區,中正路478號一樓二樓,29232696,302234.5601,2766258.408
康福中醫診所,桃園市,八德區,介壽路一段839號1樓至2樓,03-3750967,280288.15,2761553.52
康福中醫診所,苗栗縣,頭份市,和平路43號1樓,681501,240649.298,2730799.41
康福內科診所,臺南市,東區,崇德里中華東路3段207號1樓,06-2890910,170581.25,2541854.32
康福牙醫診所,臺北市,中山區,南京東路一段132巷10號,225976100,303174.4726,2771556.651
康福牙醫診所,臺南市,永康區,大橋里大橋一街105號1樓,06 2018125,170997.34,2546469.74
康福牙醫診所,新北市,蘆洲區,長安街二一八號一樓至二樓,22885200,296242.7142,2775209.728
康福牙醫診所,苗栗縣,公館鄉,玉泉村13鄰玉泉359-10號1樓,232721,232462.57,2711170.91
康福健康診所,高雄市,仁武區,赤仁路97號、97號2樓、97號3樓之1,937076941,182923.29,2508713.54
康福診所,新北市,新莊區,幸福路七九四號一．二樓,229944626,295056.1422,2771299.712
康維牙醫診所,新北市,板橋區,文化路2段336號(1、2樓),(02) 8253-6686,297729.2723,2769223
康綸中醫診所,桃園市,大園區,?林路223號1樓,03-3835882,275942.18,2774511.62
康豪牙醫診所,臺北市,內湖區,內湖路一段217巷27號1樓,02-26279292,307032.7333,2775138.641
康銘龍內兒科診所,桃園市,桃園區,成功路二段15號1樓,03 3383162,281754.47,2765098.66
康德牙醫診所,高雄市,岡山區,岡山路71號1樓,07-6295916,177725.84,2521106.69
康德牙醫診所,臺中市,北屯區,崇德路一段五六○號一樓,04 22326688,217960.8256,2672360.82
康德牙醫診所,臺北市,內湖區,文德路70號2樓、74號,226582280,308657.7622,2774574.498
康德牙醫診所,新北市,新莊區,幸福路79號,02 9937306,296087.1713,2771319.207
康德耳鼻喉科診所,臺中市,龍井區,新興路43號,04 26317903,208104.56,2675132.27
康德診所,新竹市,東區,新莊里光復路一段362-2號,03-5788282、5788383,251585.73,2741874.62
康慧中醫診所,嘉義市,西區,興業西路124號1樓,05-2361836,193074.455,2596265.539
康慧牙醫診所,宜蘭縣,羅東鎮,興東南路85號1、2樓,03-9574699,327900.77,2729435
康樂診所,臺北市,內湖區,康樂街80號、82號、84號,02-26308800,312437.9893,2773705.141
康潔牙醫診所,臺中市,豐原區,豐東路二一四號,04 25288887,222712.9706,2682683.627
康潔牙醫診所,桃園市,楊梅區,新成路四一號,03 -4757770,264849.27,2756061.86
康潔美牙醫診所,桃園市,楊梅區,永美路389之1號1、2、3樓,(03)4811051,268191.06,2756396.07
康澄診所,臺中市,西區,向上南路一段215號1樓、2樓及217號1樓、2樓,04-24720510,214543.6986,2671104.753
康緣診所,桃園市,平鎮區,中庸路116巷1號1樓,03-4031708,270978.15,2756232.95
康緹牙醫診所,新北市,三重區,正義北路351號1、2、3樓及重陽路四段113號1、2、3樓,(02)2986-0118,299764.5435,2773823.505
康膚診所,桃園市,大園區,中山南路16號1樓,03-3850050,269889.17,2772829.08
康適美牙醫診所,彰化縣,彰化市,建國北路105號,04-7358830,204197.09,2665556.08
康適登牙醫診所,雲林縣,斗六市,忠孝里大同路123號,05-5327338,203690.3,2622941.92
康鄰牙醫診所,臺北市,內湖區,星雲街130號1樓,02-27912687,309992.4178,2774735.486
康銳美學牙醫診所,臺南市,永康區,中興里中華二路189號2樓,06-3117111,171885.69,2545418.39
康橋牙醫診所,臺南市,佳里區,忠仁里延平路274號,06 7233333,165890.78,2562247.96
康橋牙醫診所,臺中市,南屯區,文心路一段432號1樓、2樓、3樓,04-23282666,214130.3377,2671750.691
康橋牙醫診所,新北市,中和區,員山路四八五號一?二樓,282276995,298448.6393,2766476.014
康橋牙醫診所,新竹市,北區,光華一街10號,35339722,247357.16,2745400.58
康橋牙醫診所,高雄市,苓雅區,廣州一街56號,07 7258740,179948.049,2502446.868
康橋牙醫診所,雲林縣,斗六市,中和里中山路103號1、2樓,05-5330998,203173.69,2622750.01
康橋診所,臺南市,永康區,東橋里東橋1路156號1樓,06-3036759,171536.08,2546483.24
康橋診所,新北市,瑞芳區,明燈路三段39-7號1樓,24972350,331341.5359,2777947.177
康橋診所,金門縣,金湖鎮,赤東路150號1樓,,-12640.9222,2706093.131
康澤小兒科診所,高雄市,左營區,自由三路382號1樓,07-3453356,179363.294,2508456.942
康澤牙醫診所,新北市,林口區,中山路255號1、2樓,(02)26022995,288888.39,2774620.622
康錦華皮膚專科診所,臺南市,東區,東明里怡東路72巷2號1樓,06-2002778,170873.49,2543624.23
康霖中醫診所,屏東縣,潮州鎮,府洋北街90號,8.7803358,202166.09,2495139.32
康霖牙醫診所,臺北市,松山區,延壽街430號,25289366,306113.0091,2772117.021
康鴻復健科診所,桃園市,桃園區,大有路515號1樓、517號1樓,3165515,282036.36,2767400.61
康馥中醫診所,臺南市,北區,文成里文賢路234號1樓,,167359.03,2544970.05
康麗牙醫診所,高雄市,三民區,熱河二街148號1樓、2樓,07-3116039,177940.729,2505080.958
康麗美學牙醫診所,臺中市,南區,五權南路481號1樓,04-22607777,216442.2207,2668223.26
康寶中醫診所,嘉義縣,布袋鎮,興中里14鄰太平路102號,05-3470068,164398.41,2586434.76
康耀牙醫診所,新北市,樹林區,保安二街95號,02-26872372,292783.1318,2765319.405
康馨牙醫診所,高雄市,鳳山區,青年路二段362之1號,7766256,183346.13,2504795.76
康馨牙醫診所,新北市,永和區,中正路171號1樓、2樓,02-86689818,302146.191,2765730.565
康馨診所,新竹縣,新豐鄉,新興路71號,5578686,249242.516,2750961.052
康齡牙醫診所,臺南市,永康區,二王里忠孝路388號1、2樓,06-2030111,172471.73,2546464.3
康齡牙醫診所,新竹市,東區,光復路二段222號,(03)5753033、5738388,250003.87,2743007.84
康齡牙醫診所,高雄市,三民區,正忠路73號,07 3840489,181152.664,2504851.926
康齡牙醫診所,桃園市,桃園區,大興西路二段139巷28號1樓、30號1、2、3樓,03-3150355,279999.71,2766915.77
張一凡中醫診所,臺北市,南港區,研究院路一段15號,2788-5285,312211.618,2771913.673
張乙誠中醫診所,彰化縣,員林市,三條里成功東路278號1樓,04-8338787,207552.14,2650548.75
張力元皮膚科診所,臺中市,太平區,中山路三段2-8號1樓,(04)23912922,221813.54,2671605.72
張士澎內科家醫科診所,臺南市,南區,新昌里西門路1段611號,06 2216216,167707.2,2542882.34
張大川耳鼻喉科診所(張大川聯合診所),南投縣,埔里鎮,中山路三段87號1樓,049-2998980,246264.22,2651265.41
張大慶耳鼻喉科診所,臺南市,永康區,崑山里永大路2段83號,06-2730086,174196.45,2544903.71
張子修牙醫診所,高雄市,鹽埕區,建國四路140號,07 5319373,176055.867,2503029.916
張小兒科,花蓮縣,花蓮市,博愛街239號﹛,03-8326693,311470.44,2652958.44
張小兒科內科診所,臺中市,豐原區,三民路209號,04 25223968,221242.4813,2683080.251
張小兒科診所,臺中市,中區,市府路16號,04 2223237,217481.7954,2670498.38
張中醫診所,雲林縣,虎尾鎮,西安里中山路25號1樓,05-6364443,192399.08,2622589.21
張仁祥眼科診所,新竹縣,竹北市,縣政九路176號,03-5518777,251224.356,2747111.145
張介山診所,嘉義縣,民雄鄉,東榮村民族路二十二之三號,05-2261302,191868.68,2605892.09
張允藍小兒科診所,彰化縣,彰化市,永安街一六五號,04-7263838,203719.24,2664711.46
張內兒科診所,臺中市,大雅區,學府路290號,04 25663167,214391.3075,2679947.11
張內科小兒科診所,新竹市,東區,西大路168號,03 5236288,246923.76,2743310.57
張內科小兒科診所,雲林縣,斗六市,三民路十八號,05 5325607,203618.35,2623027.07
張內科診所,臺中市,北屯區,景賢路282號1樓,04-24372551,221839.9629,2673551.888
張內科診所,臺中市,北屯區,景賢路282號1樓,04-24372551,221839.9629,2673551.888
張內科診所,苗栗縣,頭份市,忠孝里10鄰中華路1038號,37663146,240914.204,2731143.195
張天長診所,彰化縣,員林市,東和里員水路二段482號1樓、林森路127號1、2、3樓,04─8324479,207023.07,2650212.43
張少萌婦產科診所,臺北市,大安區,信義路四段199巷2號4樓之1之2,227000101,305656.5401,2769608.42
張文吉小兒科診所,臺中市,南屯區,向上南路1段273號1樓,04-24724988,214353.3972,2671099.454
張文宗小兒科內科診所,彰化縣,彰化市,長安街25號,04 7256363,203359.34,2664113.26
張文信牙醫診所,臺中市,南屯區,大墩路817號1樓及夾層,04-23200250,214384.1211,2672249.261
張文星診所,桃園市,中壢區,中正路296號1樓,03 4222084,271982.37,2750483.96
張文真內科診所,嘉義縣,新港鄉,新民路76巷1號,05 3743567,183480.76,2606011.2
張文乾牙醫診所,臺北市,中山區,中山北路一段58號3樓,225114264,302539.4768,2771249.95
張文雄內小兒科診所,臺中市,豐原區,民生街61號,04 5265875,221249.7268,2682468.391
張文源耳鼻喉科診所,苗栗縣,公館鄉,大同路184號1樓,237631,232596.4,2710694.71
張文瑞診所,屏東縣,屏東市,勝利里自由路581號1樓,08-7666631,197202.81,2509297.9
張文義診所,屏東縣,內埔鄉,內田村學人路707號,08 7783966,205170.55,2500883.93
張文達牙醫診所,彰化縣,社頭鄉,仁雅村員集路二段七十四巷5號,04-8723665,208104.344,2643589.124
張文豪診所,高雄市,大寮區,會社里力行路1-12號1樓,7816276,188248.93,2500190.74
張氏診所,高雄市,三民區,金鼎路368之5號一樓,07 3419182,179999.406,2507377.006
張牙醫診所,臺南市,東區,自強里東門路三段55號1樓,06-2688585,171173.69,2542271.26
